user,text,latitude,longitude,created_at,hastags
shashiskashyap,"_BandraDemolitionDrive_

A fire broke out in a slum near Bandra Station, Mumbai on 26 October? https://t.co/sEIwOYATwE",19.076,72.8777,Fri Nov 10 18:05:16 +0000 2017,[]
TrendsmapIndia,"#walkonwater is now trending in India

https://t.co/3l53G3U9Es https://t.co/RBijgATRvN",19.0728,72.8826,Fri Nov 10 18:00:23 +0000 2017,[u'walkonwater']
TrendsmapIndia,"#credittorahulgandhi is now trending in India

https://t.co/rBGwR3WD9z https://t.co/OpIcf5lCHu",19.0728,72.8826,Fri Nov 10 18:00:02 +0000 2017,[u'credittorahulgandhi']
ImPKshinning,Beauty is what you feel from within ????? #igers #instaactor #instapiercing #loveforpiercings? https://t.co/gB1rfqA26M,19.076,72.8777,Fri Nov 10 17:57:30 +0000 2017,"[u'igers', u'instaactor', u'instapiercing', u'loveforpiercings']"
ramlakhan_meena,@JeetuDungarjal @sagrikaofficial @DineshY53277147 @DHANRAJ4455 @DHANRAJ99194444 @KamalMeena93  mumbai to delhi https://t.co/mD0KvvfkDW,19.0893856,72.8611025,Fri Nov 10 17:48:15 +0000 2017,[]
ramlakhan_meena,@JeetuDungarjal @sagrikaofficial @DineshY53277147 @DHANRAJ4455 @DHANRAJ99194444 @KamalMeena93  mumbai to delhi https://t.co/mD0KvvfkDW,19.0893856,72.8611025,Fri Nov 10 17:48:15 +0000 2017,[]
sujatawde,#oppof5 @ R City https://t.co/b4poXuRnL6,19.09958477,72.91673761,Fri Nov 10 17:45:19 +0000 2017,[u'oppof5']
MalharPandya9,This video itself is a proof that how rocking was my b?day bash.Thank you each one of you for? https://t.co/gED55x6x98,19.076,72.8777,Fri Nov 10 17:38:39 +0000 2017,[]
sujatawde,Variety entertainment program at #oppof5 store launch Join to #capturetherealyou @oppo @ R City https://t.co/Ca9BfyixJ9,19.09958477,72.91673761,Fri Nov 10 17:35:17 +0000 2017,"[u'oppof5', u'capturetherealyou']"
DearCheesecake,"Love and light ?

Write to us ?? stuti@thecheesecakeproject.com :) @ Courtyard by Marriott Mumbai? https://t.co/TAYD1T2zF0",19.11405283,72.86417066,Fri Nov 10 17:32:10 +0000 2017,[]
truptipherwani,#powai#contact:9004996796 @ Indulgence Home Bakers - EAT RICH FEEL RICH https://t.co/7zVOr5HrYi,19.10892,72.89731,Fri Nov 10 17:28:07 +0000 2017,[]
ninjapinto,Happy Birthday Beautiful @hasleenkaur ??May you Get all u Desire and Stay Blessed ??Hope ur? https://t.co/2u1bgaqxPv,19.076,72.8777,Fri Nov 10 17:28:04 +0000 2017,[]
sujatawde,#capturetherealyou with @oppo Siddharth is here with fan @ R City https://t.co/7MWP2VqOSh,19.09958477,72.91673761,Fri Nov 10 17:25:40 +0000 2017,[u'capturetherealyou']
sujatawde,Are u ready to #capturetherealyou with #oppof5 oppo @ R City https://t.co/Re0j7aJw6t,19.09958477,72.91673761,Fri Nov 10 17:24:40 +0000 2017,"[u'capturetherealyou', u'oppof5']"
sujatawde,"#oppof5 store launch with Siddharth Malhotra to, #capturetherealyou @ R City https://t.co/htIIpXepYE",19.09958477,72.91673761,Fri Nov 10 17:24:19 +0000 2017,"[u'oppof5', u'capturetherealyou']"
TrendsMumbai,"Khurshed (Bawa), @khurshed is now trending in #Mumbai

https://t.co/rnMFTI2qwi https://t.co/XJ7F3uyWRu",19.0728,72.8826,Fri Nov 10 17:22:26 +0000 2017,[u'Mumbai']
abedi75,"Retro music (@ Ontoes Pub in Mumbai, India) https://t.co/uKgDoLWcIT",19.10364848,72.83085194,Fri Nov 10 17:16:01 +0000 2017,[]
shyamalathadevi,"A perfect evening involves a beautiful place right next to the beach, good music followed by? https://t.co/VKhB7cpHM2",19.10029,72.82737,Fri Nov 10 17:12:19 +0000 2017,[]
TrendsmapIndia,"#kiff2017 is now trending in India

https://t.co/JTIWJh0fDb https://t.co/qSiDdd0Zp3",19.0728,72.8826,Fri Nov 10 17:11:55 +0000 2017,[u'kiff2017']
TrendsmapIndia,"#rahulgstimpact is now trending in India

https://t.co/0WT8AnhWqW https://t.co/L993bKVbO6",19.0728,72.8826,Fri Nov 10 17:11:26 +0000 2017,[u'rahulgstimpact']
TrendsmapIndia,"#fatwaforyoga is now trending in India

https://t.co/fszpEkr6Hv https://t.co/IgflXHbk66",19.0728,72.8826,Fri Nov 10 16:48:43 +0000 2017,[u'fatwaforyoga']
TrendsmapIndia,"#goodandsimpletax is now trending in India

https://t.co/NEAqnlKi4y https://t.co/RCuKxIJVjv",19.0728,72.8826,Fri Nov 10 16:48:28 +0000 2017,[u'goodandsimpletax']
TheBadCrucifier,"Tonight?s entertainment, hopefully gives a good sleep.
#gin #london #madeinlondon #breakingrules? https://t.co/VapHOb1Sih",19.076,72.8777,Fri Nov 10 16:32:43 +0000 2017,"[u'gin', u'london', u'madeinlondon', u'breakingrules']"
warp_n_weft,Weddings in Weaves #warpnweft #weavesofbenaras #benarasi #banarasi #shaadi #weddings? https://t.co/wVar4Dm1zk,19.076,72.8777,Fri Nov 10 16:31:22 +0000 2017,"[u'warpnweft', u'weavesofbenaras', u'benarasi', u'banarasi', u'shaadi', u'weddings']"
b2bspeak,The #speakimgminds girls with our new #speaker #sabbasjoseph #india #mumbai #indialife? https://t.co/VFEN4gHySs,19.08019,72.8494599,Fri Nov 10 16:24:31 +0000 2017,"[u'speakimgminds', u'speaker', u'sabbasjoseph', u'india', u'mumbai', u'indialife']"
abbas_haiderr,"And The Award goes to......??

#UNICEF #Radio4ChildAwards #Mumbai @ JW Marriott Hotel Mumbai Juhu https://t.co/HkQTT8Q2rn",19.09801,72.82706,Fri Nov 10 16:21:05 +0000 2017,"[u'UNICEF', u'Radio4ChildAwards', u'Mumbai']"
NicsGoingGlobal,The #speakingminds #girls with our new #speaker #sabbasjoseph #india #indialife? https://t.co/8bPBTCb8Ck,19.08019,72.8494599,Fri Nov 10 16:19:02 +0000 2017,"[u'speakingminds', u'girls', u'speaker', u'sabbasjoseph', u'india', u'indialife']"
Jibranmj_96,"Light up?
.
.
Model - jyotsna_gorawara
.
.
.
#fairylights #lights #street #photoshoot? https://t.co/Kf6e2IHJ6c",19.076,72.8777,Fri Nov 10 16:05:11 +0000 2017,"[u'fairylights', u'lights', u'street', u'photoshoot']"
TrendsMumbai,"'fundamental' is now trending in #Mumbai

https://t.co/Vey09zIiiG https://t.co/tFqAa2D6oo",19.0728,72.8826,Fri Nov 10 16:01:59 +0000 2017,[u'Mumbai']
TrendsMumbai,"Jason Derulo, @jasonderulo is now trending in #Mumbai

https://t.co/9hFgaUOjc7 https://t.co/t9F6JSFa4R",19.0728,72.8826,Fri Nov 10 16:01:50 +0000 2017,[u'Mumbai']
NabhaTawde,Glimpses of our cool new learning centre #PiramalLearningUniversity? https://t.co/ASjqrYjxaq,19.07051,72.87711,Fri Nov 10 16:01:27 +0000 2017,[u'PiramalLearningUniversity']
Cest_La_Vee_,"I'm at The Bakery in Mumbai, Maharashtra https://t.co/JZwiClziTf",19.103353,72.871781,Fri Nov 10 16:00:36 +0000 2017,[]
laxmishukla15,Salad special series continues.....today's salad .zucchini feta? https://t.co/WonIg6H0U9,19.076,72.8777,Fri Nov 10 15:55:51 +0000 2017,[]
TrendsmapIndia,"#kolkatainternationalfilmfestiva is now trending in India

https://t.co/L5tN9fnFxv https://t.co/d6YaaZGFwh",19.0728,72.8826,Fri Nov 10 15:55:23 +0000 2017,[u'kolkatainternationalfilmfestiva']
Cest_La_Vee_,"I'm at Hyatt Regency in Mumbai, India https://t.co/nCTcz2CDU1",19.10354315,72.87143961,Fri Nov 10 15:55:14 +0000 2017,[]
TrendsmapIndia,"#paigamemohabbat is now trending in India

https://t.co/chgG0QBDop https://t.co/hq8g8OAOGl",19.0728,72.8826,Fri Nov 10 15:55:06 +0000 2017,[u'paigamemohabbat']
Sneh_twits,Birthday punch #pretty #drinks #drinkinggames #feelingloved @ One Street Over https://t.co/AMCkCAFZNO,19.065,72.83534,Fri Nov 10 15:54:12 +0000 2017,"[u'pretty', u'drinks', u'drinkinggames', u'feelingloved']"
roshanishenazz,"???? #people I #admire #series
#roshanishenazz #empoweringyourlife #switchontheinnerlight? https://t.co/Hz1FDalB7v",19.076,72.8777,Fri Nov 10 15:47:49 +0000 2017,"[u'people', u'admire', u'series', u'roshanishenazz', u'empoweringyourlife', u'switchontheinnerlight']"
Techy_Mind,"Dil To Bachcha Hai Jee....@Ulka12official

Like if you remember these games...??????

#interior? https://t.co/EFwgYPnrpN",19.076,72.8777,Fri Nov 10 15:45:52 +0000 2017,[u'interior']
TrendsMumbai,"'bracket', 'bribery', 'flaw' &amp; 'architecture' are now trending in #Mumbai

https://t.co/q5ziOq8DQ3 https://t.co/Rh1ttlawuU",19.0728,72.8826,Fri Nov 10 15:35:09 +0000 2017,[u'Mumbai']
TrendsMumbai,"MARTIN GARRIX, @martingarrix is now trending in #Mumbai

https://t.co/n6OxHyoCJp https://t.co/M3Q3RcqjhN",19.0728,72.8826,Fri Nov 10 15:35:00 +0000 2017,[u'Mumbai']
MikeNWJames,"My day today. Going nowhere fast! #Mumbai #atpchallengertour ?????????? @ Mumbai, Maharashtra https://t.co/kjGBcHS1hV",19.076,72.8777,Fri Nov 10 15:32:21 +0000 2017,"[u'Mumbai', u'atpchallengertour']"
TrendsmapIndia,"#yogaparfatwa is now trending in India

https://t.co/6Op6GFLGlG https://t.co/hNDzAu5eKb",19.0728,72.8826,Fri Nov 10 15:29:37 +0000 2017,[u'yogaparfatwa']
TrendsmapIndia,"#kulbhushanjadhav is now trending in India

https://t.co/ux2s0Etv04 https://t.co/hC9xQwibwC",19.0728,72.8826,Fri Nov 10 15:29:22 +0000 2017,[u'kulbhushanjadhav']
vijaya421,All the best shraddha_shashidhar for the Miss Universe 2017 pageant ????Make our country proud ????? https://t.co/7YYpBiAg2v,19.076,72.8777,Fri Nov 10 15:25:07 +0000 2017,[]
thomas__music,"I-N-D-O-R-E!!!!! 
@anuragmmusic and I am coming to your city to perform at the IRIS ?17? https://t.co/1phLCCKsVP",19.076,72.8777,Fri Nov 10 15:20:51 +0000 2017,[]
nagpai,"Under a spaceship #CloseEncounter #csiamumbai @ Chhatrapati Shivaji International Airport, T2? https://t.co/nkoA8CF0aN",19.09608315,72.87423983,Fri Nov 10 15:17:46 +0000 2017,"[u'CloseEncounter', u'csiamumbai']"
chefpai73,"#lovefish #paperwrapped steamed ravas,#freshcatch #freshseafood #healthy #glutenfree @ Saptami @? https://t.co/0Ek5eDHckX",19.10330442,72.88691647,Fri Nov 10 15:12:03 +0000 2017,"[u'lovefish', u'paperwrapped', u'freshcatch', u'freshseafood', u'healthy', u'glutenfree']"
